country,owner_age,attitude_stable_business_environment,attitude_worried_shutdown,compliance_income_tax,perception_insurance_doesnt_cover_losses,perception_cannot_afford_insurance,personal_income,business_expenses,business_turnover,business_age_years,motor_vehicle_insurance,has_mobile_money,current_problem_cash_flow,has_cellphone,owner_sex,offers_credit_to_customers,attitude_satisfied_with_achievement,has_credit_card,keeps_financial_records,perception_insurance_companies_dont_insure_businesses_like_yours,perception_insurance_important,has_insurance,covid_essential_service,attitude_more_successful_next_year,problem_sourcing_money,marketing_word_of_mouth,has_loan_account,has_internet_banking,has_debit_card,future_risk_theft_stock,business_age_months,medical_insurance,funeral_insurance,motivation_make_more_money,uses_friends_family_savings,uses_informal_lender,profit_margin,expense_ratio,age_per_year_business,Target,ID
0.0,63.0,2.0,1.0,1.0,1.0,2.0,3000.0,6000.0,7000.0,14.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,0.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,6.0,3.0,4.0,1.0,3.0,3.0,0.14285714285714285,2.0,4.5,Low,ID_3CFL0U
3.0,39.0,1.0,2.0,3.0,1.0,2.0,2000.0,3000.0,6000.0,15.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,0.5,1.2857142857142858,2.6,Medium,ID_XWI7G3
2.0,34.0,0.0,1.0,1.0,0.0,2.0,30000.0,6000.0,13000.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,4.0,0.0,1.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,0.5384615384615384,0.2,6.8,Low,ID_TY93LV
2.0,28.0,2.0,1.0,1.0,1.0,1.0,180000.0,60000.0,30000.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,3.0,2.0,-1.0,0.3333333333333333,28.0,Low,ID_9OP2C8
3.0,43.0,2.0,1.0,1.0,2.0,2.0,50.0,2400.0,1800.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,4.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,-0.3333333333333333,48.0,14.333333333333334,Low,ID_13REYS
1.0,39.0,2.0,1.0,1.0,0.0,2.0,250.0,10.0,60.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,4.0,4.0,0.8333333333333334,0.04,8.2,Low,ID_57I1NI
1.0,25.0,2.0,2.0,1.0,1.0,1.0,10000.0,1350.0,3000.0,7.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,3.0,4.0,0.0,2.0,3.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,1.0,4.0,4.0,0.55,0.135,3.5714285714285716,Medium,ID_L3TKQV
0.0,44.0,2.0,2.0,1.0,2.0,2.0,14000.0,8500.0,15000.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,0.43333333333333335,0.6071428571428571,44.0,Low,ID_KB700U
3.0,34.0,2.0,1.0,1.0,2.0,2.0,150.0,1680.0,3360.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,0.5,11.2,6.8,Medium,ID_DUQI8U
0.0,65.0,2.0,1.0,3.0,1.0,1.0,5000.0,9000.0,22000.0,20.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,5.0,3.0,1.0,1.0,3.0,3.0,0.5909090909090909,1.8,3.25,Medium,ID_27YH6U
2.0,42.0,2.0,1.0,1.0,0.0,2.0,1166000.0,7000000.0,14000000.0,10.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,0.5,6.003430531732419,4.2,Low,ID_CBJS4T
1.0,56.0,2.0,1.0,1.0,0.0,1.0,5000.0,1000.0,5000.0,10.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,3.0,4.0,0.0,1.0,3.0,0.0,1.0,4.0,4.0,1.0,0.0,3.0,3.0,2.0,0.0,4.0,4.0,0.8,0.2,5.6,Low,ID_KJ6SZX
